video_id,patient_id,station,calibration_start_time,calibration_end_time,task_start_time,task_end_time,mesh_file,mesh_start,mesh_end,faulty_left,faulty_right,overhead_box_x1,overhead_box_y1,overhead_box_x2,overhead_box_y2,endoscope_box_x1,endoscope_box_y1,endoscope_box_x2,endoscope_box_y2,overhead_box_w,overhead_box_h,endoscope_box_w,endoscope_box_h
891044,,F,0:00:07,0:00:19,0:08:03,0:59:15,Day3_Mesh_Records,0:06:28,0:06:45,y,,0,360,734,52,640,360,1280,0,546,308,640,360
891043,,A,0:00:20,0:00:44,0:05:46,0:26:48,Day3_Mesh_Records,0:06:49,0:06:58,,,,,,,,,,,,,,
891042,,C,0:00:16,0:00:37,0:04:39,0:42:59,Day3_Mesh_Records,0:00:41,0:00:50,,,,,,,,,,,,,,
891041,,I,0:00:10,0:00:17,0:07:55,0:36:53,Day3_Mesh_Records,0:09:32,0:09:41,,,,,,,,,,,,,,
891039,,B,0:00:20,0:00:46,0:03:52,0:28:31,Day3_Mesh_Records,0:02:23,0:02:34,,,,,,,,,,,,,,
891038,,F,0:00:04,0:00:15,0:04:37,0:19:30,Day3_Mesh_Records,0:03:23,0:03:31,,,,,,,,,,,,,,
891037,,E,0:00:13,0:00:20,0:06:29,0:45:39,Day3_Mesh_Records,0:02:38,0:02:49,,,,,,,,,,,,,,
891035,,A,0:00:20,0:00:39,0:05:54,0:29:11,Day3_Mesh_Records,0:07:05,0:07:15,,,,,,,,,,,,,,
891034,,J,0:05:53,0:06:03,0:08:04,0:31:54,Day3_Mesh_Records,0:09:17,0:09:29,,,,,,,,,,,,,,
891032,,H,0:11:45,0:11:52,0:12:07,1:00:41,Day3_Mesh_Records,0:02:52,0:03:04,y,y,,,,,,,,,,,,
891031,,H,0:00:01,0:00:05,0:08:18,0:28:57,Day3_Mesh_Records,0:03:35,0:03:50,,y,,,,,,,,,,,,
891030,,C,0:00:29,0:00:54,0:07:06,0:33:54,Day3_Mesh_Records,0:00:55,0:01:10,,,,,,,,,,,,,,
891029,,J,0:00:14,0:00:24,0:05:37,0:31:18,Day3_Mesh_Records,0:09:03,0:09:14,,,,,,,,,,,,,,
891027,,I,0:00:00,0:00:10,0:08:31,0:35:47,Day3_Mesh_Records,0:09:45,0:10:04,,,,,,,,,,,,,,
891026,891025,I,0:00:10,0:00:18,0:08:15,0:23:16,Day3_Mesh_Records,0:10:42,0:10:51,,,,,,,,,,,,,,
891025,,G,0:05:46,0:05:50,0:06:01,0:28:31,Day3_Mesh_Records,0:03:53,0:04:05,,,,,,,,,,,,,,
891024,,A,0:00:10,0:00:35,0:05:27,0:32:24,Day3_Mesh_Records,0:07:18,0:07:28,,,,,,,,,,,,,,
891023,,I,0:00:04,0:00:13,0:08:13,0:20:02,Day3_Mesh_Records,0:10:54,0:11:07,,,,,,,,,,,,,,
891022,,J,0:00:05,0:00:11,0:05:04,0:15:09,Day3_Mesh_Records,0:08:51,0:09:00,,,,,,,,,,,,,,
891021,,G,0:04:49,0:04:54,0:05:03,0:30:15,Day3_Mesh_Records,0:03:08,0:03:20,,,,,,,,,,,,,,
891020,,E,0:00:02,0:00:40,0:05:24,0:24:08,Day3_Mesh_Records,0:07:41,0:07:51,,,,,,,,,,,,,,
891019,,I,0:00:03,0:00:13,0:06:33,0:34:43,Day3_Mesh_Records,0:10:31,0:10:39,,,,,,,,,,,,,,
891018,,A,0:00:21,0:00:50,0:04:06,0:21:54,Day3_Mesh_Records,0:07:56,0:08:08,,,,,,,,,,,,,,
891017,,E,0:00:13,0:00:22,0:05:30,0:35:40,Day3_Mesh_Records,0:02:08,0:02:21,,,,,,,,,,,,,,
891016,,C,0:00:21,0:00:43,0:06:52,0:38:16,Day3_Mesh_Records,0:01:15,0:01:30,,,,,,,,,,,,,,
891015,,A,0:00:20,0:00:42,0:06:53,0:24:32,Day3_Mesh_Records,0:07:30,0:07:38,,,,,,,,,,,,,,
891014,,G,0:05:49,0:05:55,0:05:59,0:21:42,Day3_Mesh_Records,0:05:06,0:05:14,,,,,,,,,,,,,,
891013,,I,0:00:00,0:00:09,0:06:18,0:18:16,Day3_Mesh_Records,0:10:08,0:10:26,,,,,,,,,,,,,,
891012,,C,0:00:14,0:00:33,0:03:37,0:41:40,Day3_Mesh_Records,0:01:34,0:01:41,,,,,,,,,,,,,,
891011,,F,0:00:06,0:00:16,0:06:17,0:24:22,Day3_Mesh_Records,0:04:08,0:04:19,,,,,,,,,,,,,,
891010,,J,0:00:01,0:00:11,0:06:02,0:32:55,Day3_Mesh_Records,0:08:33,0:08:47,,,,,,,,,,,,,,
891009,,J,0:00:00,0:00:09,0:05:45,0:48:03,Day3_Mesh_Records,0:08:11,0:08:18,,,,,,,,,,,,,,
891008,,H,0:00:00,0:00:03,0:09:06,0:28:24,Day3_Mesh_Records,0:04:51,0:05:02,,,,,,,,,,,,,,
891007,,H,0:00:24,0:00:30,0:00:58,0:40:38,Day3_Mesh_Records,0:04:34,0:04:48,,y,,,,,,,,,,,,
891006,,F,0:02:40,0:02:50,0:01:53,0:50:50,Day3_Mesh_Records,0:05:19,0:05:40,,,,,,,,,,,,,,
891005,,E,0:00:10,0:00:20,0:04:24,0:38:34,Day3_Mesh_Records,0:01:46,0:01:54,,,,,,,,,,,,,,
891004,,G,0:08:25,0:08:30,0:08:24,1:10:00,Day3_Mesh_Records,0:05:50,0:05:58,,,,,,,,,,,,,,
891003,,F,0:00:06,0:00:19,0:05:06,0:28:06,Day3_Mesh_Records,0:06:13,0:06:23,,,,,,,,,,,,,,
891001,,E,0:00:09,0:00:27,0:05:14,0:34:41,Day3_Mesh_Records,0:01:57,0:02:05,,,,,,,,,,,,,,
598039,,H,0:05:41,0:05:47,0:06:03,0:21:20,Day_2_Mesh_Records,0:14:01,0:14:06,,,,,,,,,,,,,,
598038,,F,0:00:31,0:00:55,0:04:25,0:21:57,Day_2_Mesh_Records,0:04:48,0:04:55,,,,,,,,,,,,,,
598037,,A,,,0:08:38,0:13:08,Day_2_Mesh_Records,0:04:40,0:04:44,y,y,,,,,,,,,,,,
598036,,C,0:00:49,0:01:14,0:06:12,0:24:01,Day_2_Mesh_Records,0:06:33,0:06:38,,,,,,,,,,,,,,
598035,,C,0:00:32,0:01:00,0:07:41,0:20:48,Day_2_Mesh_Records,0:06:42,0:06:48,,,,,,,,,,,,,,
598034,,I,0:00:02,0:00:11,0:05:53,0:31:48,Day_2_Mesh_Records,0:07:48,0:07:55,,,,,,,,,,,,,,
598033,,F/B,0:01:44,0:02:11,0:12:06,0:51:06,Day_2_Mesh_Records,0:06:54,0:07:00,,,,,,,,,,,,,,
598032,,F,0:00:18,0:00:39,0:05:21,0:28:33,Day_2_Mesh_Records,0:05:27,0:05:36,,,,,,,,,,,,,,
598031,,H,0:00:38,0:00:44,0:00:38,0:43:24,Day_2_Mesh_Records,0:05:19,0:05:24,,,,,,,,,,,,,,
598030,,C,0:00:12,0:00:36,0:03:56,0:24:14,Day_2_Mesh_Records,0:08:41,0:08:54,,,,,,,,,,,,,,
598029,,I,0:00:00,0:00:11,0:05:31,0:29:00,Day_2_Mesh_Records,0:07:28,0:07:34,,,,,,,,,,,,,,
598028,,E,0:00:28,0:00:41,0:08:31,0:33:19,Day_2_Mesh_Records,0:03:51,0:04:01,,,,,,,,,,,,,,
598027,,H,0:06:35,0:06:39,0:06:55,0:50:24,Day_2_Mesh_Records,0:05:41,0:05:46,,,,,,,,,,,,,,
598026,,B,0:00:25,0:01:12,0:06:00,0:21:45,Day_2_Mesh_Records,0:00:24,0:00:38,,,,,,,,,,,,,,
598025,,G,0:20:57,0:21:04,0:21:26,1:06:40,Day_2_Mesh_Records,0:04:59,0:05:04,,,,,,,,,,,,,,
598024,,C,0:00:13,0:00:30,0:04:20,0:34:09,Day_2_Mesh_Records,0:09:30,0:09:36,,,,,,,,,,,,,,
598023,,J,0:03:03,0:03:18,0:03:31,0:20:00,Day_2_Mesh_Records,0:08:33,0:08:37,,,,,,,,,,,,,,
598022,,E,0:00:18,0:00:42,0:05:28,0:28:00,Day_2_Mesh_Records,0:04:18,0:04:26,,,,,,,,,,,,,,
598021,,A,0:00:20,0:00:41,0:04:37,0:16:20,Day_2_Mesh_Records,0:01:03,0:01:16,,,,,,,,,,,,,,
598020,,F,0:00:20,0:00:41,0:06:12,0:38:53,Day_2_Mesh_Records,0:05:08,0:05:14,,,,,,,,,,,,,,
598019,,J,0:05:47,0:05:54,0:06:09,0:16:59,Day_2_Mesh_Records,0:08:11,0:08:17,,,,,,,,,,,,,,
598018,,G,,,0:05:44,0:30:46,Day_2_Mesh_Records,0:05:49,0:05:54,,,,,,,,,,,,,,
598017,,B,0:00:29,0:00:55,0:03:48,0:33:11,Day_2_Mesh_Records,0:07:06,0:07:20,y,,,,,,,,,,,,,
598016,,A,0:00:12,0:00:38,0:06:01,0:41:35,Day_2_Mesh_Records,0:03:35,0:03:47,,y,,,,,,,,,,,,
598015,,C,0:00:15,0:00:34,0:06:40,0:32:56,Day_2_Mesh_Records,0:08:58,0:09:25,,,,,,,,,,,,,,
598014,,I,0:03:14,0:03:22,0:06:52,0:26:42,Day_2_Mesh_Records,0:07:39,0:07:44,,,,,,,,,,,,,,
598013,,E,0:00:39,0:01:06,0:07:08,0:14:48,Day_2_Mesh_Records,0:02:47,0:02:57,y,,,,,,,,,,,,,
598012,,D,0:00:18,0:00:35,0:08:15,1:22:25,Day_2_Mesh_Records,0:09:40,0:09:46,,,,,,,,,,,,,,
598011,,F,0:00:02,0:00:14,0:09:32,0:45:41,Day_2_Mesh_Records,0:06:00,0:06:08,,,,,,,,,,,,,,
598010,,G,0:05:44,0:05:49,0:05:52,0:54:57,Day_2_Mesh_Records,0:06:26,0:06:30,,,,,,,,,,,,,,
598009,,F,0:00:06,0:00:26,0:07:08,0:28:03,Day_2_Mesh_Records,0:04:05,0:04:13,,,,,,,,,,,,,,
598008,,H,0:00:06,0:00:11,0:06:12,1:07:23,Day_2_Mesh_Records,0:06:13,0:06:20,,,,,,,,,,,,,,
598007,,E,0:00:20,0:00:29,0:06:23,0:17:30,Day_2_Mesh_Records,0:02:36,0:02:43,,,,,,,,,,,,,,
589006,,E,0:00:38,0:00:58,0:05:31,0:49:44,Day_2_Mesh_Records,0:04:30,0:04:37,,,,,,,,,,,,,,
598005,,E,0:00:17,0:00:38,0:06:04,0:36:58,Day_2_Mesh_Records,0:03:03,0:03:11,,,,,,,,,,,,,,
598004,,A,0:00:21,0:00:58,0:05:51,0:27:26,Day_2_Mesh_Records,0:03:17,0:03:28,,,,,,,,,,,,,,
598003,,I,0:00:30,0:00:36,0:09:01,1:06:17,Day_2_Mesh_Records,0:02:06,0:02:18,,,,,,,,,,,,,,
598002,,J,,,0:04:47,0:39:38,Day_2_Mesh_Records,0:08:21,0:08:29,,,,,,,,,,,,,,
23045,,H,0:04:35,0:04:43,0:05:17,0:21:47,Day1_Mesh_Records,0:08:37,0:08:59,,,,,,,,,,,,,,
23044,,I,0:00:09,0:00:19,0:06:22,0:35:22,Day1_Mesh_Records,0:04:23,0:04:57,,,,,,,,,,,,,,
23043,,I,0:06:00,0:06:05,0:09:24,0:27:42,Day1_Mesh_Records,0:13:52,0:14:05,,,,,,,,,,,,,,
23042,,G,0:06:50,0:06:55,0:06:55,0:33:51,Day1_Mesh_Records,,,,,,,,,,,,,,,,
23038,,C,0:00:12,0:00:35,0:01:12,0:22:16,Day1_Mesh_Records,0:05:06,0:05:38,,,,,,,,,,,,,,
23037,,E,,,0:02:23,0:26:07,Day1_Mesh_Records,0:07:48,0:08:04,,,,,,,,,,,,,,
23036,,A,0:00:19,0:00:35,0:05:05,0:39:59,Day1_Mesh_Records,0:16:27,0:16:46,,,,,,,,,,,,,,
23035,,I,0:01:23,0:01:36,0:07:50,0:43:06,Day1_Mesh_Records,0:02:32,0:03:31,,,,,,,,,,,,,,
23034,,E,0:00:11,0:00:21,0:05:48,0:25:39,Day1_Mesh_Records,0:14:51,0:14:58,,,,,,,,,,,,,,
23033,,G,,,0:00:25,1:19:12,Day1_Mesh_Records,0:14:10,0:14:25,,,,,,,,,,,,,,
23031,,C,0:00:24,0:00:53,0:06:01,0:52:43,Day1_Mesh_Records,0:12:35,0:12:58,,,,,,,,,,,,,,
23030,,A,0:00:22,0:00:45,0:05:57,0:39:36,Day1_Mesh_Records,0:17:23,0:17:45,,,,,,,,,,,,,,
23029,,A,0:00:27,0:00:47,0:05:50,0:42:04,Day1_Mesh_Records,0:16:55,0:17:16,,,,,,,,,,,,,,
23028,,C,0:00:31,0:00:48,0:04:50,0:15:30,Day1_Mesh_Records,0:11:35,0:12:15,,,,,,,,,,,,,,
23027,,F,0:00:53,0:01:08,0:06:41,0:32:11,Day1_Mesh_Records,0:09:07,0:09:19,,,,,,,,,,,,,,
23025,,E,0:00:09,0:00:20,0:08:24,0:22:48,Day1_Mesh_Records,0:08:13,0:08:30,,,,,,,,,,,,,,
23024,,F,,,0:01:22,0:09:59,Day1_Mesh_Records,0:15:04,0:15:10,,,,,,,,,,,,,,
23023,,G,0:07:15,0:07:26,0:07:54,0:39:53,Day1_Mesh_Records,0:14:32,0:14:45,,,,,,,,,,,,,,
23022,,H,0:00:54,0:01:01,0:08:37,0:48:23,Day1_Mesh_Records,0:10:08,0:10:26,,,,,,,,,,,,,,
23021,,I/J?,0:00:36,0:00:46,0:07:39,0:46:38,Day1_Mesh_Records,0:03:50,0:04:12,,,,,,,,,,,,,,
23019,,J,0:05:16,0:05:23,0:07:13,0:29:18,Day1_Mesh_Records,0:13:28,0:13:44,,,,,,,,,,,,,,
23017,,C,0:00:09,0:00:20,0:03:08,0:11:00,Day1_Mesh_Records,0:05:49,0:05:59,,,,,,,,,,,,,,
23015,,E,0:00:41,0:00:55,0:05:53,0:19:04,Day1_Mesh_Records,0:15:16,0:15:25,,,,,,,,,,,,,,
23014,,A,0:00:40,0:00:51,0:04:17,0:30:04,Day1_Mesh_Records,0:16:00,0:16:17,,,,,,,,,,,,,,
23013,,?,0:00:51,0:01:04,0:07:12,0:39:17,Day1_Mesh_Records,0:13:05,0:13:22,,,,,,,,,,,,,,
23012,,G,,,0:00:18,0:16:19,Day1_Mesh_Records,0:10:59,0:11:19,,,,,,,,,,,,,,
23011,,?,0:00:11,0:00:23,0:07:49,0:38:30,Day1_Mesh_Records,0:01:31,0:02:15,,,,,,,,,,,,,,
23010,,H,,,0:07:37,2:13:33,Day1_Mesh_Records,0:10:35,0:10:51,,,,,,,,,,,,,,
23009,,F,0:00:07,0:00:26,0:04:11,0:08:03,Day1_Mesh_Records,0:09:27,0:09:36,,,,,,,,,,,,,,
23008,,C,0:00:52,0:01:05,0:02:26,0:38:53,Day1_Mesh_Records,0:06:09,0:06:33,,,,,,,,,,,,,,
23007,,F,0:00:13,0:00:27,0:05:02,1:02:54,Day1_Mesh_Records,0:00:05,0:01:01,,,,,,,,,,,,,,
23003,,F,0:00:15,0:00:40,0:06:28,0:07:39,Day1_Mesh_Records,0:09:45,0:09:59,,,,,,,,,,,,,,
23001,,G,0:05:25,0:05:49,0:11:46,0:48:18,Day1_Mesh_Records,0:15:31,0:15:50,,,,,,,,,,,,,,
,23018,,,,,,Day1_Mesh_Records,0:06:56,0:07:38,,,,,,,,,,,,,,
,MIKE0001,,,,,,Day_2_Mesh_Records,0:08:01,0:08:07,,,,,,,,,,,,,,
,MIKE0002,,,,,,Day3_Mesh_Records,0:04:22,0:04:31,,,,,,,,,,,,,,
